mediatype_label,sector_label,record_id,dc_type_de,match_level,cho_class,source_vocab,note,mediatype,sector
Not Digitized,Research,http://www.deutsche-digitale-bibliothek.de/item/4HOGB5KHZJZASQHWRHYNC63KMCY6JTT4,Folge,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte004
Photo,Archive,http://www.deutsche-digitale-bibliothek.de/item/2253KDIHJ5IS2BS4PENPXLUMKJHF7LIC,Archivale,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001
Photo,Archive,http://www.deutsche-digitale-bibliothek.de/item/2266PS6MJ6DE7EQK4WDS2SETDT2E4QZF,Archivale,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001
Photo,Archive,http://www.deutsche-digitale-bibliothek.de/item/22C35SQ2D22YMXQJX4DNX5KP5T3WCWUZ,Archivale,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001
Photo,Archive,http://www.deutsche-digitale-bibliothek.de/item/22M54XUOB7WWC46DVDT3AFCZ3W6Q5AL7,Archivale,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001
Photo,Archive,http://www.deutsche-digitale-bibliothek.de/item/22UHWUR3ZWPZYQFMS7BZMS62QW2CCDM7,Handschrift (Manuskript),exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001
Photo,Library,http://www.deutsche-digitale-bibliothek.de/item/23XJVF3IOKJAR2Y2ALXLDSWAIB2CZHRA,Buch,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte002
Photo,Library,http://www.deutsche-digitale-bibliothek.de/item/23L7O7HWLLXUN7472NSR6T4BDGYRECQ3,Druck,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte002
Photo,Library,http://www.deutsche-digitale-bibliothek.de/item/226FZ26M5EBLSX4RQQRV2JAWRJ77I765,Illustration,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte002
Photo,Library,http://www.deutsche-digitale-bibliothek.de/item/23V7RBWOYSKRGUXOVCOYDBVAT3GLUAWA,Illustration,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte002
Photo,Library,http://www.deutsche-digitale-bibliothek.de/item/24DUZE267EDJEQFF2GREDS2ZMWPIPQU2,Illustration,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte002
Photo,Media Library,http://www.deutsche-digitale-bibliothek.de/item/22424UUJXWRCZBFORC4EHSSUZGRCIXAX,Druck,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005
Photo,Media Library,http://www.deutsche-digitale-bibliothek.de/item/222NZKK63TNRLC2VETRV722VKBDSUVGL,Fotoalbum,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005
Photo,Media Library,http://www.deutsche-digitale-bibliothek.de/item/2277HOLCPL7BKUYSHLKKDUFY4MTNWACN,Fotografie,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005
Photo,Media Library,http://www.deutsche-digitale-bibliothek.de/item/22CUHWTDAGLYAD4RIF3C3GMOU22A44W7,Fotografie,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005
Photo,Media Library,http://www.deutsche-digitale-bibliothek.de/item/22DXHZLAXPT3RYTNKQADYLYTKMUHQGZH,Fotografie,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte005
Photo,Monument,http://www.deutsche-digitale-bibliothek.de/item/22RYM4HUYOS46WRCZYUQKTPJQ3X76QVO,Baudenkmal,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImmovableWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003
Photo,Monument,http://www.deutsche-digitale-bibliothek.de/item/2NBUQ26FFG7QZHKUGVZ4JQIGUHODPOKH,Baudenkmal,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImmovableWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003
Photo,Monument,http://www.deutsche-digitale-bibliothek.de/item/2OBLNUCHOLXNB4CQNKDLZAMAPJZBXUST,Baudenkmal,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImmovableWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003
Photo,Monument,http://www.deutsche-digitale-bibliothek.de/item/2TOZIU5OHUVC6RVWDLKYOPNU7BEUOAHG,Baudenkmal,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImmovableWork,mocho,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003
Photo,Monument,http://www.deutsche-digitale-bibliothek.de/item/2PKIUGNGX24PUGSN5NP7KRIVQ5LUUHTY,Brücke,exact,http://purl.org/vra/Work,vra,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte003
Photo,Museum,http://www.deutsche-digitale-bibliothek.de/item/225STL7K4R2LPP6MIWBKY3OFPZKCOVXO,Bildwerk,exact,http://purl.org/vra/Work,vra,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006
Photo,Museum,http://www.deutsche-digitale-bibliothek.de/item/22DOAKI6RFPU7TJFOQONCSEHX4ELEUBG,Druckgraphik,exact,http://purl.org/vra/Work,vra,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006
Photo,Museum,http://www.deutsche-digitale-bibliothek.de/item/22I5HALVKVZ2XZFWXVFTDY3VML664LRY,Plastik,exact,http://purl.org/vra/Work,vra,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006
Photo,Museum,http://www.deutsche-digitale-bibliothek.de/item/22KLBUH3CGPOMMKHZY5OE4RHZ73EME2S,Rollenporträt,exact,http://purl.org/vra/Work,vra,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006
Photo,Museum,http://www.deutsche-digitale-bibliothek.de/item/223JG2LHJF3OMIAZ2ISKXOMKU6FXTVKJ,Zeichnung,exact,http://purl.org/vra/Work,vra,W-slot (replaces mocho:Manifestation); M-slot=—,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006
Photo,Others,http://www.deutsche-digitale-bibliothek.de/item/4PPZXPGIL4L25RJGHZBD6WHRMIRWOFTQ,Druckgraphik,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte007
Photo,Others,http://www.deutsche-digitale-bibliothek.de/item/3RSJ6WTXAHBFZQCBKNH5B2OMCDBPDM4Y,Gemälde,exact,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,mocho,mocho:Manifestation explicit,http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte007
