dc_type_de,gnd_uri
Buchbeitrag,NZCOZHNJE3QDQPIWQKEBHSBJ3FH74WHL
Bucheinband,KDDYLEO5K3S4NB4QJMLFDG5ZH3YSXPN5
Buchgrafik (Illustration),UUA64TTS5A5CNNDGEXG7DSX5TL72M5EB
Buchgrafik (Innentitel),LZIDLMZCMLR7OTVGWIOEQHKL7LSHFIXP
Buchgrafik (Seite) / Typografie (Schriftmuster),5E3XCKERSDVM2DXRJGY4GUBQ6234GYYX
Buchgrafik (Titel),FDXXHZX5VAALFGXXOYDDJWU5TEIYM2LK
Buchgrafik (Titel) / Typografie (Schriftmuster),INQOCOGKVW63XK3VU5DTB7V6R67MFCFT
Buchmalerei,http://d-nb.info/gnd/4008650-1
Buchseite,http://vocab.getty.edu/aat/300194222
Bunker,K7P6QVOQ3I5TBJHVLC6P3JVHSWKW5UAH
Börse,7EB4BYE2VPUD72OEEUAE2FFIUI3RAS6E
Bücheranzeige,5AGKYC6GJFCKY7HSCEXCLL2NH44Y4WLT
Bühnenbild,UUDXWGKAJ5JZEPZ5UNAX5GNK5CJVWAQU
Bühnenbildentwurf,2NBY6F32XFRCBV57WKLOMBYV4XH4OVG3
Bühnenbildfotografie,A45JGCTA2GB34PSKMBSNP2ZNBDEHZKO6
Bühnenbildmodell,2EG75OK3ZP4AYKFAND5O4UIJI3SETV5Q
Bühnenbildmodell (Nachbau),2RVAN4HQFMBRJOFHGGM4LOFSU6TNCBAK
Büro- und Geschäftshaus,TNBWMQSQIEDCDPQB7TMO6OTIV3P3EL2I
Büste,http://d-nb.info/gnd/4008836-4
Büste & Sockel,X3J3D5LZOOLUC7JFWTC3HB3I2MO7FWX5
Carte de Visite,http://vocab.getty.edu/aat/300127141
CD,http://d-nb.info/gnd/4522869-3
CD-ROM,http://d-nb.info/gnd/4139307-7
Chromolithographie,P4VXR26LME5GPX7XXPNC3JDFF7ZQSL5X
Chronik,https://d-nb.info/gnd/4127914-1
Collage,http://d-nb.info/gnd/4010384-5
Collection,W5Z2WXDW6DFRVY5LBPWE7KMRRDEXC456
Collection article,X44JVV32G23A255WWCAQ4ILJ7NU53NCY
Comic,http://d-nb.info/gnd/4010427-8
Computerausdruck,EZII7PKPFGDTJN4ZMQIKEYHXFR4C66PF
Conference paper,LGXCRBMJX4YSKSGJXQM4PLX4XTOJORWA
Corps de Logis,ECGJHOR43YQNIIIO6TGCGEMZCEJPILLD
Daguerreotypie,HW32YNMUBKI73MADEOGOVEJP3V6MCLIF
Deckel oder Spielebrett eines Unterhaltungsspiels,UXZGL2UNBZQJUD4S6U2RWG2D7Q7O3VDG
Deckelkrug,TQ7MSC3WA5ZRETOTVGWNCHFLLRZ7RJ4A
Deckenbild,http://vocab.getty.edu/aat/300411453
Denkmal,http://d-nb.info/gnd/4011453-3
Denkmalentwurf,FHBYK2JMDTV2TJL6N64HCEFO4ELXMS7S
Denkmalreduktion,QVKX34PEYZGNDUBWCHB4FESU23NL2IVI
Dia,http://d-nb.info/gnd/4149435-0
Diapositiv,5WW7Q5ECGBGO7SAWOXIUWCGRUBL6YSAJ
Direktorenwohnhaus,V5EDYGXJ6GL2DCNJBN3KBZ2GNNOXJDGD
Dissertation o. Habilitation,OURHYLPH527FFRQBJVWOZE3QHIABAHS4
Dissertation: jur.,
Dissertation: phil.,
Dissertation: theol.,
Dokument,http://d-nb.info/gnd/4180009-6
